nom_estab,nombre_act,telefono,latitud,longitud,codigo_act,municipio
CLINICA VETERINARIA BARBER DOG,Servicios veterinarios para mascotas prestados por el sector privado,2228717083,18.9881231,-98.24443814,541941,Puebla
CLINICA VETERINARIA BERACA,Servicios veterinarios para mascotas prestados por el sector privado,7461096493,20.46432173,-97.70387726,541941,Venustiano Carranza
CLINICA VETERINARIA BULLS DOC,Servicios veterinarios para mascotas prestados por el sector privado,2224406226,18.98916061,-98.26963741,541941,Puebla
CLINICA VETERINARIA CANICOLA,Servicios veterinarios para mascotas prestados por el sector privado,2223953521,18.99023571,-98.23267752,541941,Puebla
CLINICA VETERINARIA CAPI,Servicios veterinarios para mascotas prestados por el sector privado,2311320988,19.80899265,-97.36526398,541941,Teziutlán
CLINICA VETERINARIA CHIAPAS,Servicios veterinarios para mascotas prestados por el sector privado,2223320602,19.01906482,-98.18216379,541941,Puebla
CLINICA VETERINARIA COHER,Servicios veterinarios para mascotas prestados por el sector privado,2227596699,19.06527788,-98.23337145,541941,Puebla
CLINICA VETERINARIA COLITAS,Servicios veterinarios para mascotas prestados por el sector privado,7644884006,20.2741629,-97.95773865,541941,Xicotepec
CLINICA VETERINARIA CONTLA,Servicios veterinarios para mascotas prestados por el sector privado,2331030896,19.84000646,-97.49632361,541941,Tlatlauquitepec
CLINICA VETERINARIA DE ESPECIALIDADES,Servicios veterinarios para mascotas prestados por el sector privado,2222402814,19.02141738,-98.19923261,541941,Puebla
CLINICA VETERINARIA DE ESPECIALIDADES SALAMANCA,Servicios veterinarios para mascotas prestados por el sector privado,2481168215,19.28032326,-98.41743302,541941,San Martín Texmelucan
CLINICA VETERINARIA DE LA SIERRA,Servicios veterinarios para mascotas prestados por el sector privado,7835808592,19.71163925,-97.59306828,541941,Zautla
CLINICA VETERINARIA DE PELOS,Servicios veterinarios para mascotas prestados por el sector privado,2223302437,19.07088681,-98.23554884,541941,Puebla
CLINICA VETERINARIA DEL DOCTOR CESAR SOLANA,Servicios veterinarios para mascotas prestados por el sector privado,2223071313,19.02159533,-98.26026457,541941,San Andrés Cholula
CLINICA VETERINARIA DEL DOCTOR JAIME REYES FRANCO,Servicios veterinarios para mascotas prestados por el sector privado,2222485215,19.0512306,-98.23527521,541941,Puebla
CLINICA VETERINARIA DEXTERS,Servicios veterinarios para mascotas prestados por el sector privado,2226857574,19.04775633,-98.29517531,541941,San Andrés Cholula
CLINICA VETERINARIA DOCTOR PELAEZ,Servicios veterinarios para mascotas prestados por el sector privado,2222178097,19.05054801,-98.30555014,541941,San Andrés Cholula
CLINICA VETERINARIA DOCTOR VET,Servicios veterinarios para mascotas prestados por el sector privado,7641190284,20.27202309,-97.95720752,541941,Xicotepec
CLINICA VETERINARIA DR BADILLO,Servicios veterinarios para mascotas prestados por el sector privado,2222176689,19.06175768,-98.21886081,541941,Puebla
CLINICA VETERINARIA DRUIDA,Servicios veterinarios para mascotas prestados por el sector privado,2491324867,18.95716809,-97.65690077,541941,Quecholac
CLINICA VETERINARIA E J,Servicios veterinarios para mascotas prestados por el sector privado,2211506783,20.17596532,-98.05176323,541941,Huauchinango
CLINICA VETERINARIA ESCALONA,Servicios veterinarios para mascotas prestados por el sector privado,2221603681,19.10436954,-98.34887375,541941,Juan C. Bonilla
CLINICA VETERINARIA G.C,Servicios veterinarios para mascotas prestados por el sector privado,2222098088,19.05523643,-98.17530907,541941,Puebla
CLINICA VETERINARIA GUSSI,Servicios veterinarios para mascotas prestados por el sector privado,2224926369,19.07326917,-98.18132294,541941,Puebla
CLINICA VETERINARIA HA SHEM,Servicios veterinarios para mascotas prestados por el sector privado,2228597841,19.05740133,-98.14384229,541941,Puebla
CLINICA VETERINARIA HEBRON,Servicios veterinarios para mascotas prestados por el sector privado,2491639151,18.57864165,-97.92490234,541941,Tepexi de Rodríguez
CLINICA VETERINARIA HUNDEWELT,Servicios veterinarios para la ganadería prestados por el sector privado,2213591416,19.09020972,-98.16948015,541943,Puebla
CLINICA VETERINARIA INTEGRAL,Servicios veterinarios para mascotas prestados por el sector privado,2223435096,18.97115231,-98.16603961,541941,Puebla
CLINICA VETERINARIA JESUS LLAMIEL,Servicios veterinarios para mascotas prestados por el sector privado,2221562007,19.16383156,-98.31156401,541941,San Miguel Xoxtla
CLINICA VETERINARIA JUNIOR CAN,Servicios veterinarios para mascotas prestados por el sector privado,2221640973,19.0129686,-98.2046253,541941,Puebla
CLINICA VETERINARIA JUNIOR CAN,Servicios veterinarios para mascotas prestados por el sector privado,2221640973,19.01347241,-98.20551556,541941,Puebla
CLINICA VETERINARIA KALI,Servicios veterinarios para mascotas prestados por el sector privado,2221152816,19.06966615,-98.21469464,541941,Puebla
CLINICA VETERINARIA KELEV,Servicios veterinarios para mascotas prestados por el sector privado,2223064921,19.0074105,-98.20282582,541941,Puebla
CLINICA VETERINARIA KIVET,Servicios veterinarios para mascotas prestados por el sector privado,7761149365,20.17312196,-98.05647238,541941,Huauchinango
CLINICA VETERINARIA LA GLORIA DE EL PASTORCITO,Servicios veterinarios para mascotas prestados por el sector privado,2223879959,19.06507456,-98.19241698,541941,Puebla
CLINICA VETERINARIA LA HERRADURA,Servicios veterinarios para mascotas prestados por el sector privado,2494510104,19.11878425,-97.70889389,541941,Soltepec
CLINICA VETERINARIA LADRIDOS Y MAULLIDOS,Servicios veterinarios para mascotas prestados por el sector privado,2229650538,19.04503199,-98.0423542,541941,Amozoc
CLINICA VETERINARIA LAS AMERICAS,Servicios veterinarios para mascotas prestados por el sector privado,2222350626,19.04385684,-98.17053827,541941,Puebla
CLINICA VETERINARIA LISAN,Servicios veterinarios para mascotas prestados por el sector privado,2229092597,19.1139813,-97.42115523,541941,Tlachichuca
CLINICA VETERINARIA LOEVET,Servicios veterinarios para mascotas prestados por el sector privado,2311210776,19.87915819,-97.46724782,541941,Yaonáhuac
CLINICA VETERINARIA LUCAS,Servicios veterinarios para mascotas prestados por el sector privado,2222376573,19.02964128,-98.19192177,541941,Puebla
CLINICA VETERINARIA LUPUS,Servicios veterinarios para mascotas prestados por el sector privado,2484919399,19.28799963,-98.44259596,541941,San Martín Texmelucan
CLINICA VETERINARIA MAFER,Servicios veterinarios para mascotas prestados por el sector privado,2228880698,19.04990113,-98.18854036,541941,Puebla
CLINICA VETERINARIA MASKOTIKAN,Servicios veterinarios para mascotas prestados por el sector privado,2229803925,19.02567177,-98.20447262,541941,Puebla
