NOMBRE ,TIPO,ENTRE CALLES ,COLONIA,LATITUD,LONGITUD
TERCER JARDIN DE CORRALEJO,JARDIN,TERCER JARDIN DE CORRALEJO ENTRE SEGUNDO JARDIN DE CORRALEJO Y HACIENDA CORRALEJO,LA HACIENDA,19.009159,-98.190759
VILLAS DEL SUR,AREA VERDE,ENTRE 5 C SUR Y 101 PONIENTE,VILLAS DEL SUR,18.995358,-98.230882
U. H. LA MARGARITA 10, ,DE LA CAMELIA ENTRE 57 Y 59 ORIENTE,LA MARGARITA INFONAVIT,19.006539,-98.186655
U.H AMALUCAN 2,JARDIN VECINAL,SEGUNDO ALAMO Y SEGUNDO RETORNO ALAMOS,AMALUCAN INFONAVIT,19.052114,-98.144347
CIUDAD SATELITE 2,PARQUE,ENTRE CALLE GABINO BARREDA Y MANUEL ALTAMIRANO,CIUDAD SATELITE,19.044707,-98.149078
SAN FRANCISCO TOTIMEHUACAN 2,JARDIN,3 PONIENTE Y 3 SUR,SAN FRANCISCO TOTIMEHUACAN,18.968907,-98.186067
PLAZA DE LA NOCHE BUENA,PLAZA,"PLAZA DE LA NOCHE BUENA, ENTRE 20 DE NOVIEMBRE Y COROLNEL JESÚS GONZÁLEZ ARRATIA",LA FLOR,19.020558,-98.184068
PARQUE DEPORTIVO ANALCO,PARQUE DEPORTIVO,ENTRE CALLES 8 Y 10 SUR,BARRIO DE ANALCO,19.040027,-98.193744
PARQUE LOS PERICOS,PARQUE,"69 ORIENTE Y PRIV. 69 A ORIENTE, ENTRE EJIDO Y 12 SUR",LOMA LINDA,19.000455,-98.211906
U.H AMALUCAN 6,PARQUE DEPORTIVO,ENTRE AVENIDA XONACATEPEC Y AVENIDA TABACHIN,AMALUCAN INFONAVIT,19.049743,-98.150705
BOSQUES DE SAN SEBASTIAN 4,JARDIN VECINAL,ENTRE CALLE 4 A Y CALLE 5 A,BOSQUES DE SAN SEBASTIAN,19.057812,-98.136524
PLAZAS DE AMALUCAN 7,JARDIN VECINAL,ENTRE PLAZA DEL BOLICHE Y PLAZA DEL CALVARIO,PLAZAS DE AMALUCAN,19.043066,-98.145344
PLAZAS DE AMALUCAN 1,PARQUE,ENTRE PLAZA DEL REFUGIO Y PLAZA DE SAN FRANCISCO,PLAZAS DE AMALUCAN,19.043048,-98.143357
U.H AMALUCAN 7,JARDIN VECINAL,ENTRE AVENIDA TABACHIN Y AVENIDA DE LAS TORRES,AMALUCAN INFONAVIT,19.048616,-98.148608
PLAZAS DE AMALUCAN 3,PARQUE DEPORTIVO,ENTRE PLAZA DEL BOLICHE Y PLAZA DE ANALCO,PLAZAS DE AMALUCAN,19.045801,-98.145825
PLAZAS DE AMALUCAN 4,JARDIN VECINAL,ENTRE PLAZA DE LA GRANJA Y PLAZA DEL REFUGIO,PLAZAS DE AMALUCAN,19.045776,-98.143823
BOSQUES DE SAN SEBASTIAN 32,PARQUE,ENTRE AZUCENAS Y ORQUIDEAS,BOSQUES DE SAN SEBASTIAN,19.060893,-98.129969
BOSQUES DE SAN SEBASTIAN 11,JARDIN VECINAL,ENTRE CERRADA 2 E Y RETORNO 5 E,BOSQUES DE SAN SEBASTIAN SECCION 1 INFONAVIT,19.062588,-98.128307
U.H AMALUCAN 9,PARQUE,CERRADA CEIBA ENTRE GRANADA Y DEL ROBLE,AMALUCAN INFONAVIT,19.050202,-98.145685
BOSQUES DE SAN SEBASTIAN 37,PLAZA,ENTRE 3RA Y 4A CERRADA DE XONACATEPEC,BOSQUES DE SAN SEBASTIAN,19.057561,-98.134075
BOSQUES DE SAN SEBASTIAN 14,JARDIN VECINAL,CALLE 3 E ENTRE BOULEVARD PUEBLA Y RETORNO 5 E,BOSQUES DE SAN SEBASTIAN SECCION 1 INFONAVIT,19.06266,-98.127683
BOSQUES DE SAN SEBASTIAN 16,JARDIN VECINAL,ENTRE CERRADA 2 E Y RETORNO 5 E,BOSQUES DE SAN SEBASTIAN SECCION 1 INFONAVIT,19.063752,-98.128233
PARQUE ALBANIA (LOS TILINES),AREA VERDE,ENTRE ALEMANIA Y ALBANIA,BOSQUES DEL PILAR FRACCIONAMIENTO,19.055321,-98.129638
VISTA HERMOSA ALAMOS,PARQUE,AVENIDA DE LOS MARTIRES ENTRE PORFIRIO DIAZ Y EMILIANO ZAPATA,VISTA HERMOSA ALAMOS,19.04068,-98.152788
CLAVEL,AREA VERDE,CALLE CLAVEL ENTRE LAS MARGARITAS Y MARAVILLAS,NUEVA RESURRECCION,19.064737,-98.143496
SAN CRISTOBAL TULCINGO,AREA VERDE,ENTRE BARRANCA DEL ZAPOTE Y BARRANCA HONDA,SAN CRISTOBAL TULCINGO,19.111309,-98.203879
PLAZAS DE AMALUCAN 2,JARDIN VECINAL,ENTRE LA FRAGUA Y PLAZUELA DEL ALTO,PLAZAS DE AMALUCAN,19.046172,-98.146787
EL SALVADOR,PARQUE,ENTRE 9 ORIENTE Y 6 SUR,EL SALVADOR,19.035369,-98.1411
