NOMBRE ,TIPO,ENTRE CALLES ,COLONIA,LATITUD,LONGITUD
PARQUE Y AREAS VERDES DE TRUENO,AREA VERDE,"CALLE TRUENO, ENTRE SEGUNDA CERRADA CIRCUITO MIRADOR Y DEL ALAMO",MIRADOR LA CALERA,19.010476,-98.167206
U. H. SAN BARTOLO 12,JARDIN VECINAL,"PROL. DE LA 11 SUR, ENTRE SAN BARTOLO SUR A Y B",SAN BARTOLO INFONAVIT,18.992097,-98.243925
U. H. SAN BARTOLO 5,PLAZA,SAN BARTOLO ORIENTE B ENTRE 109 PTE. Y SAN BARTOLO NTE. B (PLAZA DEL ROBLE),SAN BARTOLO INFONAVIT,18.992786,-98.240164
POPULAR CASTILLOTLA 2,JARDIN,"AV. 105 PONIENTE, ENTRE YUCATAN Y VERACRUZ",POPULAR CASTILLOTLA,18.997278,-98.239004
U. H. SAN BARTOLO 10,PLAZA,"SAN BARTOLO SUR A, ENTRE SAN BARTOLO SUR A Y PERIFERICO ECOLOGICO (PLAZA DEL OCOTE)",SAN BARTOLO INFONAVIT,18.991653,-98.242441
U. H. SAN BARTOLO 6,PLAZA,"SAN BORTOLO NORTE A, ENTRE SAN BARTOLO PTE. B Y SAN BARTOLO OTE. B (PLAZA DEL CIPRES)",SAN BARTOLO INFONAVIT,18.993347,-98.241999
CARMEN GASTRONOMICOS,CANCHA,RETORNO MATAMOROS ENTRE MATAMOROS Y BOULEVARD MUNICIPIO LIBRE,CARMEN GASTRONOMICOS,19.002141,-98.232932
DISTRIBUIDOR VIAL 485,PARQUE,CIRCUITO JUAN PABLO II Y VIA ATLIXCAYOTL,VILLA ERIKA,19.03787,-98.225999
VILLAS LAS GARZAS,AREA VERDE,C. POPOCATEPETL Y PARICUTIN,VILLAS LAS GARZAS SECC 2,19.00089,-98.250605
INFONAVIT LAS CARMELITAS,AREA AJARDINADA,C. 20 DE NOVIEMBRE Y MIGUEL HIDALGO,INFONAVIT LAS CARMELITAS,18.994661,-98.251766
U. H. SAN BARTOLO 3,PLAZA,"SAN BARTOLO SUR A, ENTRE SAN BARTOLO C ORIENTE Y 7 SUR (PLAZA TERCERA DE LA HIGUERA)",SAN BARTOLO INFONAVIT,18.990219,-98.238216
U. H. SAN BARTOLO 2,PLAZA,"SAN BARTOLO ORIENTA A,  ENTRE 109 PTE. Y SAN BARTOLO SUR A ( PLAZA DEL ALCANFOR)",SAN BARTOLO INFONAVIT,18.991048,-98.238434
POPULAR CASTILLOTLA 3,JARDIN,"AV. 105 PONIENTE, ENTRE TLAXCALA Y TAMAULIPAS",POPULAR CASTILLOTLA,18.996792,-98.238218
POPULAR CASTILLOTLA 4,JARDIN,"105 PONIENTE, ENTRE TABASCO Y SONORA",POPULAR CASTILLOTLA,18.996449,-98.237504
RAFAEL CAÑEDO BENITEZ,AREA VERDE,"ZACATECAS, ENTRE 109 PONIENTE Y PRIV. ZACATECAS",POPULAR COATEPEC,18.994791,-98.242266
U. H. SAN BARTOLO 9,PLAZA,"SAN BARTOLO NORTE A, ENTRE PERIFERICO ECOLÓGICO Y CIRCUITO SAN BARTOLO SUR A",SAN BARTOLO INFONAVIT,18.992156,-98.243324
U. H. SAN BARTOLO 11,PLAZA,"SAN BARTOLO SUR A, ENTRE SAN BARTOLO SUR A Y PERIFERICO ECOLOGICO (PLAZA DEL AUCALIPTO)",SAN BARTOLO INFONAVIT,18.990825,-98.241002
U. H. SAN BARTOLO 7,PLAZA,"SAN BARTOLO PONIENTE B, ENTRE AZUMIATLA Y SAN BARTOLO NORTE A (PLAZA DEL PIRUL)",SAN BARTOLO INFONAVIT,18.993134,-98.242867
U. H. SAN BARTOLO 4,PLAZA,"SAN BARTOLO ORIENTE A, ENTRE SAN BARTOLO OTE. A Y PERIFERICO ECOLOGICO (PLAZA DEL ALMENDRO)",SAN BARTOLO INFONAVIT,18.989969,-98.239099
LOMA BELLA 8,AREA VERDE,ENTRE 6 RTNO. 3 B SUR Y 6 RTNO. 3 A SUR,LOMA BELLA INIFONAVIT,18.989241,-98.233402
CARMEN GASTRONOMICO 3,PARQUE,"HIDALGO A, ENTRE HIDALGO B Y BOULEVARD MUNICIPIO LIBRE",EL CARMEN GASTRONOMICO INFONAVIT,19.002754,-98.23505
U. H. SAN BARTOLO 8,PLAZA,"SAN BARTOLO NORTE A, ENTRE SAN BARTOLO SUR A Y PERIFERICO ECOLOGICO",SAN BARTOLO INFONAVIT,18.99232,-98.242617
GALAXIA LA LAGUNA,AREA VERDE, C. 107 PONIENTE Y C. 15 SUR,GALAXIA LA LAGUNA,18.99904,-98.244694
EL CARMEN GASTRONOMICO,AREA VERDE,"BLVD. MUNICIPIO LIBRE, ENTRE C. HIDALGO A  AV. NACIONAL",EL CARMEN GASTRONOMICO,19.003438,-98.234663
PLAZA DEL CAPULIN,PLAZA,"SAN BARTOLO ORIENTE A, ENTRE 109 PTE. Y SAN BARTOLO SUR A",SAN BARTOLO INFONAVIT,18.991718,-98.238618
LOMA BELLA 9,AREA VERDE,CIRCUITO CENTRAL Y ESQUINA CON 5 SUR,LOMA BELLA INFONAVIT,18.98887,-98.236062
LOMA BELLA 11,AREA VERDE,CIRCUITO CENTRAL Y 5 SUR,LOMA BELLA INFONAVIT,18.990094,-98.235371
LOMA BELLA,AREA VERDE,CUARTO ANDADOR JARDINES DE LA 5 SUR ENTRE 109 Y 111 PONIENTE,LOMA BELLA,18.9902,-98.23607
LA HACIENDA 2,PARQUE DEPORTIVO,"HACIENDA DE LA CAPILLA, ENTRE TRES JAGUEYES Y RIO",LA HACIENDA,19.002413,-98.190778
U. H. SAN BARTOLO 1,PLAZA,"SAN BARTOLO SUR A, ENTRE SAN BARTOLO OTE. A Y 109 PTE. (PLAZA DEL FRESNO)",SAN BARTOLO INFONAVIT,18.991207,-98.237754
NUEVA SAN SALVADOR,PARQUE,CALLE CABO BAJO ENTRE BAJA CALIFORNIA Y BELEN,NUEVA SAN SALVADOR,19.087923,-98.169206
U. H. AGUA SANTA 2,PARQUE DEPORTIVO,"9 SUR D, ENTRE 117 PONIENTE Y  115 PONIENTE",AGUA SANTA INFONAVIT,18.987473,-98.243386
PARQUE COMUNITARIO,PARQUE,"TULIPANES, ENTRE ROSALES Y FRAMBOYANES",SAN RAMON INFONAVIT,18.96827,-98.261351
SAN BARTOLO 1,PARQUE,ESQUINA CALLE 121 A ORIENTE Y 16 DE SEPTIEMBRE,FUENTES DE SAN BARTOLO,18.978414,-98.234987
GEOVILLAS DEL SUR AVENIDA DE LAS NACIONES 2,AREA VERDE,"AV. DE LAS NACIONES, ENTRE PORTUGAL Y VALENCIA",GEOVILLAS DEL SUR,18.959354,-98.258964
LOMAS DEL SOL 1,PARQUE,"PRIV. 113 B ORIENTE, ENTRE 2 SUR Y 6 SUR",LOMAS DEL SOL,18.982452,-98.228874
AMPLIACIÓN GUDALUPE HIDALGO,CANCHA,123 A PONIENTE ENTRE E Y 5 SUR,AMPLIACIÓN GUDALUPE HIDALGO,18.978985,-98.239978
SAN JUAN BOSCO,AREA VERDE,C. RETORNO DEL CARMEN Y EL ALTO,SAN JUAN BOSCO,18.997921,-98.248393
INFONAVIT LAS CARMELITAS,AREA AJARDINADA,C. 5 DE FEBRERO Y MIGUEL HIDALGO,INFONAVIT LAS CARMELITAS,18.993957,-98.25034
EL CARMEN GASTRONOMICO,AREA VERDE,"BLVD. MUNICIPIO LIBRE, ENTYE C. HIDALGO A Y HIDALGO B",EL CARMEN GASTRONOMICO,19.003259,-98.234173
AGUA SANTA,AREA VERDE,"C. A-M-9, ENTRE E-M-9 Y AV. 119 PTE",AGUA SANTA,18.985523,-98.24475
AGUA SANTA,AREA VERDE,"C. M-9, ENTRE D-M-9 Y AV. 117 PTE",AGUA SANTA,18.985956,-98.243709
BALCONES DEL SUR,CANCHA DEPORTIVA,C. CESAR VALLEJO Y C. LIBANO,AMPLIACIÓN BALCONES DEL SUR,18.945175,-98.239935
MERIDA,AREA VERDE,"VALLE DE TOLUCA, ENTRE MERIDA Y GUADALAJARA",S.N.T.E.,18.963946,-98.236539
DEL JARDIN,AREA VERDE,"PASEO DE LAS FLORES Y AV. DEL JARDIN, ENTRE DALIAS Y ENEBRO",JARDINES DEL SUR,18.949137,-98.238719
SAN RAMON 2,PARQUE,ENTRE BETUNIAS Y JAZMIN,SAN RAMON,18.96634,-98.263527
LA GIRALDA 1,AREA VERDE,CALLE ALHELIES Y NOVENA CERRADA,LA GIRALDA,18.970236,-98.254209
LA GIRALDA 2,AREA VERDE,CALLE ALHELIES Y NOVENA CERRADA,LA GIRALDA,18.969928,-98.254073
LA HACIENDA 4,JARDIN,"CIRCUITO JUAN PABLO II, ENTRE HACIENDA COCOYOC Y HACIENDA BALVANERA",LA HACIENDA,19.013065,-98.192234
LA HACIENDA 3,JARDIN,CIRCUITO JUAN PABLO II Y HACIENDA COCOYOC,LA HACIENDA,19.01353,-98.192413
GEOVILLAS DEL SUR AVENIDA DE LAS NACIONES 4,AREA VERDE,"AV. DE LAS NACIONES, ENTRE HOLANDA Y PORTUGAL",GEOVILLAS DEL SUR,18.959462,-98.258543
GEOVILLAS DEL SUR AVENIDA DE LAS NACIONES 6,AREA VERDE,"AV. DE LAS NACIONES, ENTRE VENEZUELA Y CARACAS",GEOVILLAS DEL SUR,18.959604,-98.258844
PARQUE Y JARDINES EL TRIUNFO 2,AREA VERDE,VICTORIA Y TRIUNFO,EL TRIUNFO,18.967084,-98.242253
LA HACIENDA,AREA VERDE,SEGUNDA CERRADA DE SAN BALTAZAR ENTRE 24 SUR Y CIRCUITO JUAN PABLO II,LA HACIENDA,19.013232,-98.19153
GUADALUPE HIDALGO,PARQUE,"CALLE 2 C SUR ENTRE 2 B SUR, MIGUEL DE LA MADRID Y LEON DE ALDAMA",GUADALUPE HIDALGO,18.967216,-98.236
S.N.T.E.,PARQUE,PUEBLA ENTRE TUXTLA GUTIERREZ Y QUERETARO,S.N.T.E.,18.963834,-98.234826
VALLE DE TOLUCA 1,JARDIN VECINAL,"CALLE VALLE DE TOLUCA, ENTRE VILLA HERMOSA Y DECIMO CONGRESO",VILLA LOS ENCINOS,18.964973,-98.236608
ESTANCIA CANINA,AREA VERDE,"PORTUGAL , PROL DE LAS AMERICAS Y AV. LAS TORRES",GEO VILLAS DEL SUR,18.958898,-98.259771
PARQUE Y JARDINES EL TRIUNFO 5,AREA VERDE,"TRIUNFO, ENTRE PROSPERIDAD Y AV, VANGUARDIA REVOLUCIONARIA",EL TRIUNFO,18.967038,-98.241209
SAN RAMON,CANCHA,TABACHINES ENTRE TULIPANES Y NARDOS,SAN RAMON,18.971215,-98.259361
S.N.T.E.,PARQUE,MONTERREY ENTRE CHILPANCINGO Y HERMOSILLO,S.N.T.E.,18.965203,-98.239384
S.N.T.E.,PARQUE,TUXTLA GUTIERREZ ENTRE CULIACAN Y SAN LUIS POTOSI,S.N.T.E.,18.963756,-98.23324
SAN RAMON  5,CANCHAS DEPORTIVAS,AV. SAN RAMON ENTRE NARDOS Y 2DO PASEO DE JAZMIN,SAN RAMON INFONAVIT,18.96647,-98.26239
LA HACIENDA 7,JARDIN,"AV. DEL RISCO Y RIO PAPAGAYO, ENTRE AV. SAN FRANCISCO Y COAPA",LA HACIENDA,19.008388,-98.193373
EL REFUGIO H VIVA 2000,AREA VERDE,TECAJETES Y PERCEVERANCIA,EL REFUGIO H VIVA 2000,18.959035,-98.248243
7 B SUR,AREA VERDE,"7 B SUR, ENTRE 137 Y 139 PONIENTE",SAN JUAN BAUTISTA,18.970798,-98.249652
PARQUE EL REFUGIO,PARQUE,AVENIDA POPOCATEPETL ESQUINA CALLE SUIZA,EL REFUGIO H VIVA 2000,18.961888,-98.2458
MIGUEL HURTADO,AREA VERDE,"MIGUEL DE LA MADRID HURTADO, ENTRE TUXTLA GUTIERREZ Y MEXICALI",S.N.T.E.,18.963789,-98.231817
S.N.T.E.,PARQUE,QUERETARO ENTRE CULIACAN Y MIGUEL DE LA MADRID,S.N.T.E.,18.965201,-98.234627
HACIENDA DE JALAPASCO 2,JARDIN,"JALAPASCO Y HACIENDA BALVANERA, ENTRE  OJO DE AGUA Y AV. SAN FRANCISCO",LA HACIENDA,19.009871,-98.192384
HACIENDA DE JALAPASCO 3,JARDIN,"JALAPASCO Y HACIENDA BALVANERA, ENTRE OJO DE AGUA Y AV. SAN FRANCISCO",LA HACIENDA,19.009349,-98.192476
DEPORTIVO EDUARDO RIVERA,AREA DEPORTIVA,"ANTURIOS, ENTRE GARDENIAS Y IRIS",SAN RAMON 3RA SECCION,18.965149,-98.259844
S.N.T.E. 4,AREA VERDE,EJE VIAL ENTRE SECCION 16 GUADALAJARA Y SECCION 31 TLAXCALA,SNTE,18.96277,-98.238046
SEGUNDO JARDIN DE CORRALEJO 1,JARDIN,PRIMER JARDIN DE CORRALEJO ENTRE HACIENDA DE CORRALEJO Y HACIENDA DEL RETIRO,LA HACIENDA,19.009674,-98.190587
SAN RAMON,PARQUE,ENTRE FRAMBOYANES Y ROSALES,SAN RAMON,18.968817,-98.261722
SAN RAMON,PARQUE,TULIPAN ENTRE AVENIDA SAN RAMON Y FRAMBOYANES,SAN RAMON,18.967392,-98.261721
LA ESPAÑOLA,PARQUE,ENTRE AVENIDA INTERIOR Y AVENIDA DEL PROGRESO,HACIENDA LAS FUENTES,18.953529,-98.253786
S.N.T.E.,PARQUE,VALLE DE MEXICO ENTRE TUXTLA GUTIERREZ Y MEXICALI,S.N.T.E.,18.96246,-98.23683
HACIENDA DE JALAPASCO 1,JARDIN,"JALAPASCO Y HACIENDA BALVANERA, ENTRE OJO DE AGUA Y AV. SAN FRANCISCO",LA HACIENDA,19.010854,-98.192213
SEGUNDO JARDIN DE CORRALEJO 2,JARDIN,SEGUNDO JARDIN DE CORRALEJO ENTRE HACIENDA DE CORRALEJO Y HACIENDA DEL RETIRO,LA HACIENDA,19.009759,-98.190257
TRIANGULO 7 OTE,PARQUE,ENTRE 7 ORIENTE Y BOULEVARD 5 DE MAYO,BARRIO DE ANALCO,19.039763,-98.194875
U. H. LA VICTORIA 2,PARQUE DEPORTIVO,"AZUNEAS Y NOCHE BUENA, ENTRE CASUARINAS Y NARDOS",LA VICTORIA INFONAVIT,18.987791,-98.255153
JAZMIN,AREA VERDE,JAZMINES ESQUINA CON CASUARINAS,LA VICTORIA INFONAVIT,18.988464,-98.257289
TRIANGULO 3 ORIENTE,JARDINES,BOULEVARD HEROES DEL 5 DE MAYO ENTRE DON JUAN DE PALAFOX Y 3 ORIENTE,BARRIO DE ANALCO,19.040805,-98.192891
LA HACIENDA 8,PARQUE,PROLONGACIÓN VISTA HERMOSA Y HACIENDA DE LA CAPILLA,LA HACIENDA,19.002993,-98.19118
LA VICTORIA,AREA VERDE,"C. DE LOS JAZMINES, ENTRE C. CEDROS Y JAZMINES",LA VICTORIA,18.988634,-98.256639
MAYORAZGO 2,AREA VERDE,BOULEVARD INDEPENDECIA Y CAUSARINAS,SAN MIGUEL MAYORAZGO INFONAVIT,18.989907,-98.258754
LOMAS DE CASTILLOTLA,AREA VERDE,"ANTIGUO CAMINO A CASTILLOTLA, ENTRE  ACACIAS Y MANZANOS",LOMAS DE CASTILLOTLA,18.984977,-98.254493
PASEOS DE CASTILLOTLA 1,AREA DE JUEGOS,137 A PONIENTE Y CAMINO REAL A CASTILLOTLA,PASEOS DE CASTILLOTLA,18.981001,-98.263992
PALESTINA (PROLONGACION 11 SUR),AREA VERDE,"PALESTINA Y PROL. ACACIAS, ENTRE 5 DE MAYO Y 1O. DE MAYO",CABAÑA DE SANTA MARIA,18.958315,-98.273246
UNIDAD DEPORTIVA STA. ISABEL,PARQUE DEPORTIVO,PROLONGACION  27 DE SEPTIEMBRE,SANTA ISABEL CASTILLOTLA,18.985623,-98.261244
27 PONIENTE,AREA VERDE,"27 PONIENTE, ENTRE 131 PONIENTE Y 131 A PONIENTE",HACIENDA SANTA CLARA,18.988301,-98.269394
143 F PONIENTE,AREA VERDE,143 F PONIENTE Y 21 SUR,JARDINES DE CASTILLOTLA  5A. SECCIÓN,18.974674,-98.270838
FLOR DEL SUR,PARQUE,AMAPOLAS Y 143 F PONIENTE,FLOR DEL SUR,18.972995,-98.268633
SAN BERNABE TEMOXTITLA,PARQUE,147 PONIENTE ENTRE 19 Y 21 SUR,SAN BERNABE TEMOXTITLA,18.972187,-98.270527
SAN ISIDRO CASTILLOTLA,AREA VERDE,"C. GERANEOS, ENTRE C. 21 Y 23 SUR",SAN ISIDRO CASTILLOTLA,18.974337,-98.272094
CAPILLA NUESTRA SEÑORA DEL RAYO,PARQUE,"FRANCISCO VILLA, ENTRE JOSE MARIA MORELOS Y PRIV. IGNACIO ALLENDE",NUEVO PLAN DE AYALA,18.960737,-98.2741
LA HACIENDA 6,AREA VERDE,AV. DE LA HERRADURA Y 2DO. ANDADOR DEL RISCO,LA HACIENDA,19.007869,-98.191537
JARDIN DE SAN BALTAZAR,PARQUE,"EDUARDO CUE MERLO, ENTRE  PRIV. 2 SUR Y MIGUEL HIDALGO",SAN BALTAZAR CAMPECHE,19.024569,-98.207723
SAN MIGUEL MAYORAZGO,AREA VERDE,"C. DURAZNO, ENTRE CERRADA PERLA Y C. TULIPAN",INFONAVIT SAN MIGUEL MAYORAZGO,18.988871,-98.252955
SAN MIGUEL MAYORAZGO,UNIDAD DEPORTIVA,"BLVD. LAS CARMELITAS, ENTRE PROL. DE LA 19 SUR",INFONAVIT SAN MIGUEL MAYORAZGO,18.991979,-98.258068
ARBOLEDAS 1,AREA VERDE,"AVENIDA ARBOLEDAS, ENTRE CIPRES Y RETORNO CIPRES",ARBOLEDAS XILOTZINGO,18.98477,-98.198346
ARBOLEDAS 2,AREA VERDE,"AVENIDA ARBOLEDAS, ENTRE CAOBA Y RETORNO CEDROS",ARBOLEDAS XILOTZINGO,18.98472,-98.197664
ARBOLEDAS 3,AREA VERDE,"AVENIDA ARBOLEDAS, ENTRE JACARANDAS Y RETORNO ACACIAS",ARBOLEDAS XILOTZINGO,18.984622,-98.196946
SANTO TOMAS CHAUTLA,PARQUE DEPORTIVO,16 DE SEPTIEMBRE Y 5 DE MAYO,SANTO TOMAS CHAUTLA,18.963204,-98.154716
CAMINO NACIONAL,AREA VERDE,CAMINO NACIONAL,SAN BALTAZAR TETELA,18.903638,-98.170263
SEÑOR DE LOS TRABAJOS,PARQUE,11 NORTE ENTRE 12 Y 10 PONIENTE,SAN PABLO DE LOS FRAILES,19.052427,-98.203534
BARRIOS DE SANTA CATARINA 4,AREA VERDE,CALLE DE LA PLAZUELA Y NICHO,BARRIOS DE SANTA CATARINA,18.968549,-98.16325
XILOTZINGO 6,AREA RECREATIVA,"ANDADOR DEL ARBOLITO, ENTRE AV. DE LA HUERTA Y AV. DEL JARDIN",SAN JOSE XILOTZINGO INFONAVIT,18.989998,-98.199022
PLAZUELA PRINCIPAL DE AZUMIATLA,AREA VERDE,CALLE ZAPOTITLAN Y LAZARO CARDENAS,SAN ANDRES AZUMIATLA JUNTA AUXILIAR,18.902706,-98.251943
PLAZUELA DE LOS SAPOS,PLAZA AJARDINADA,6 SUR ENTRE 7 Y 5 ORIENTE,CENTRO HISTORICO,19.040751,-98.19636
XILOTZINGO 3,JARDIN VECINAL,AND. DE LA ROSA ENTRE CDA. CAMELIA Y AV. DE LA HUERTA,SAN JOSE XILOTZINGO INFONAVIT,18.989586,-98.197263
VILLA ALEGRE 1,AREA VERDE,"1RA. CERRADA  XILOTZINGO Y CALLE DEL CLAVEL, ENTRE AV. DE LA HUERTA Y  AV. DEL JARDIN",SAN JOSE XILOTZINGO,18.98992,-98.200185
BARRIOS DE SANTA CATARINA 5,AREA VERDE,CALLE DE LAS CRUCES Y CRUZ DE PIEDRA,BARRIOS DE SANTA CATARINA,18.969202,-98.16418
ARTICULO PRIMERO,PARQUE,ARTICULO PRIMERO Y BELISARIO DOMINGUEZ,ARTICULO PRIMERO,18.973853,-98.158169
XILOTZINGO 9,JARDIN VECINAL,"AND. ORQUIDEA Y DE LAS FLORES, ENTRE CAMELIA Y AV. ADOLFO LOPEZ MATEOS",SAN JOSE XILOTZINGO INFONAVIT,18.990944,-98.19628
XILOTZINGO 8,JARDIN VECINAL,"AND. HIGADERA Y DE LA HUERTA, ENTRE CAMELIA Y J. MARIA LAFRAGUA (24 SUR)",SAN JOSE XILOTZINGO INFONAVIT,18.990516,-98.196351
LA CIENEGA 1,AREA VERDE,"ENTRE DIAGONAL DEFENSORES DE LA REPUBLICA, MARTIN TORRES Y RICARDO FLORES MAGON",UNIDAD HABITACIONAL LA CIENEGA,19.062478,-98.169458
LA CIENEGA 4,AREA VERDE,"ENTRE DIAGONAL DEFENSORES DE LA REPUBLICA, MARTIN TORRES Y RICARDO FLORES MAGON",UNIDAD HABITACIONAL LA CIENEGA,19.062487,-98.169115
LA CIENEGA 2,PARQUE,"ENTRE DIAGONAL DEFENSORES DE LA REPUBLICA, MARTIN TORRES Y RICARDO FLORES MAGON",UNIDAD HABITACIONAL LA CIENEGA,19.062393,-98.169114
TAURO,AREA VERDE,ENTRE TAURO Y LEO,GALAXIA LA CALERA,18.996782,-98.151578
LA GUADALUPANA,PARQUE,ENTRE NUESTRA SEÑORA DEL ROSARIO Y NUESTRA SEÑORA DE LA LUZ,LA GUADALUPANA,18.978644,-98.174289
SAN FRANCISCO TOTIMEHUACAN 3,PARQUE DEPORTIVO,"3 SUR, ENTRE 3 PONIENTE Y 5 PONIENTE",SAN FRANCISCO TOTIMEHUACAN,18.968441,-98.186071
GALAXIA LA CALERA,PARQUE,OSA MENOR ENTRE ACUARIO Y PASEO DE LAS GALAXIAS,GALAXIA LA CALERA,18.998391,-98.150471
SAN PEDRO ZACACHIMALPA,AREA DEPORTIVA,C. HERMANOS SERDAN,SAN PEDRO ZACACHIMALPA,18.937554,-98.152811
PARQUE LAS AVES,PARQUE DEPORTIVO,"VIOLETAS, ENTRE AV. AVES Y AV. VIOLETAS",SAN BALTAZAR CAMPECHE,19.014715,-98.210159
LA CIENEGA 5,PLAZUELA,PRIMER ANDADOR JOSE NIERA ENTRE RICARDO FLROES MAGON SUR Y LEOBARDO COCA,UNIDAD HABITACIONAL LA CIENEGA,19.061037,-98.169334
SAN JUAN DE LOS LAGOS,PARQUE,ENTRE PRIVADA 31 DE JULIO Y 80 PONIENTE,NACIONES UNIDAS,19.07362,-98.181513
LEOBARDO COCA,PARQUE DEPORTIVO,"2A DE JUAREZ  Y CDA. DE GALEANA, ENTRE AV. DE LAS MARGARITAS Y GALEANA",LEOBARDO COCA CABRERA,19.015175,-98.22509
AGUA AZUL 1,AREA VERDE,"PROL. 11 SUR, ENTRE 53 PONIENTE Y 55 PONIENTE",AGUA AZUL,19.025977,-98.222228
BADEN,PARQUE,11 SUR ENTRE VICENTE GUERRERO Y 57 PONIENTE,MOLINO DE EN MEDIO,19.022011,-98.225467
GUADALUPE SANTA CRUZ,PARQUE,CALLE MARIANO ABASOLO ENTRE POPOCATEPETL Y TRES DE MAYO,GUADALUPE SANTA CRUZ,19.047509,-98.264924
MERCURIO,AREA VERDE,"PLUTON, ENTRE VENUS Y  MERCURIO",FOVISSSTE SAN ROQUE,19.007555,-98.241999
DISTRIBUIDOR VIAL 475,AREA VERDE,"BLVD. BICENTENARIO, ENTRE 43 PONIENTE Y CIRCUITO JUAN PABLO II",GRANJAS ATOYAC,19.037146,-98.225778
JUPITER,AREA VERDE,ENTRE MERCURIO Y PLAZOLETAS,FOVISSSTE SAN ROQUE,19.007119,-98.241741
PLAZOLETAS,AREA VERDE,ENTRE MERCURIO Y GEMINIS,FOVISSSTE SAN ROQUE,19.007122,-98.242046
EL ELEFANTE,PARQUE,"59 PONIENTE, ENTRE 5 B SUR Y 5 SUR",VILLA ENCANTADA FRACCIONAMIENTO,19.017727,-98.218981
CALZADA IGNACIO ZARAGOZA,JARDINERA,ENTRE AVENIDA UNIDAD DEPORTIVA Y AUTOPISTA MEXICO PUEBLA,MARAVILLAS,19.078494,-98.16624
XONACA 1 (2 DE OCTUBRE),PLAZA AJARDINADA,ENTRE BOULEVARD XONACA Y PROLONGACION Y 24 NORTE,XONACA,19.046125,-98.178583
BELISARIO DOMINGUEZ,PARQUE DEPORTIVO,ENTRE 19 Y 21 PONIENTE,BELISARIO DOMINGUEZ,19.049316,-98.226902
VILLA FRONTERA 2,AREA VERDE,ENTRE 9 NORTE Y EJE 11 NORTE,VILLA FRONTERA,19.084778,-98.184513
SAN BALTAZAR CAMPECHE 1,PARQUE,"CIRCUITO JUAN PABLO II, ENTRE  AQUILES SERDAN Y PRIV. AQUILES SERDAN",SAN BALTAZAR CAMPECHE,19.0197,-98.205876
XAXALPA,JARDIN VECINAL,"ALHELI, ENTRE CIPRES Y LIRIOS",XAXALPA TEXTIL INFONAVIT,19.004838,-98.218316
12 DE MAYO,AREA VERDE,"CALLE 12 DE MAYO Y 21 SUR, ENTRE 31 PONIENTE Y 33 PONIENTE",12 DE MAYO DE 1918 INFONAVIT,19.04002,-98.220876
ATOYAC 1 (PLAZA MILENIO),PARQUE,"23 SUR, ENTRE CIRCUITO JUAN PABLO II Y 41 PONIENTE",GRANJAS ATOYAC,19.038097,-98.225216
SAN BALTAZAR CAMPECHE 2,PARQUE,"CIRCUITO JUAN PABLO II Y AV. SAN BALTAZAR, ENTRE PRIV. AQUILES SERDAN YAND. SAN BALTAZAR",SAN BALTAZAR CAMPECHE,19.019467,-98.205397
SAN BALTAZAR CAMPECHE 4,PARQUE DEPORTIVO,"CIRCUITO JUAN PABLO II, ENTRE AND. SAN BALTAZAR Y EMILIANO ZAPATA",SAN BALTAZAR CAMPECHE,19.019259,-98.204945
RUBI,AREA VERDE,ANDADOR RUBI ENTRE PLUTON Y PLAZOLETAS,FOVISSSTE SAN ROQUE,19.00795,-98.241425
RESIDENCIAL BOULEVARES 1,JARDIN VECINAL,5 A SUR Y BLVD. CARLOS CAMACHO ESPIRITU Y CIRCUITO JUAN PABLO II,RESIDENCIAL BOULEVARES,19.025459,-98.214358
XAXALPA TEXTIL,DEPORTIVO,"ALHELI, ENTRE CONSTITUCION Y CIPRES",XAXALPA TEXTIL INFONAVIT,19.00435,-98.218728
FOVISSSTE SAN ROQUE,AREA AJARDINADA,"C. ZAFIRO, ENTRE C. LAGO HURON Y C. RUBI",FOVISSSTE SAN ROQUE,19.007328,-98.240358
XAXALPA TEXTIL,AREA AJARDINADA,"C. LIRIOS, ENTRE C. CIPRES Y C. EBANO",XAXALPA TEXTIL,19.005365,-98.218933
PRADOS AGUA AZUL,AREA AJARDINADA,"LATERAL AL RIO, ENTRE CIRCUITO JUAN PABLO II Y PRIV. 5 B SUR",PRADOS AGUA AZUL,19.024958,-98.215718
GEMINIS,PLAZUELA,ENTRE MERCURIO Y PLUTON,FOVISSSTE SAN ROQUE,19.007172,-98.241321
AGUA AZUL,AREA VERDE,"47 PONIENTE, ENTRE UXMAL Y COPILCO",REFORMA AGUA  AZUL,19.030579,-98.218653
5 DE FEBRERO ORIENTE 3,JARDIN VECINAL,ENTRE RETORNO C Y CALLE 27 NORTE,BOSQUES 5 DE FEBRERO INFONAVIT,19.083175,-98.201344
5 DE FEBRERO ORIENTE 1,JARDIN VECINAL,ENTRE RETORNO A Y RETORNO B,BOSQUES 5 DE FEBRERO INFONAVIT,19.083471,-98.202207
5 DE FEBRERO ORIENTE 2,JARDIN VECINAL,ENTRE RETORNO B Y REOTORNO C,BOSQUES 5 DE FEBRERO INFONAVIT,19.083335,-98.201756
5 DE FEBRERO ORIENTE 4,JARDIN VECINAL,5 DE FEBRERO ORIENTE Y RETORNO A,BOSQUES 5 DE FEBRERO INFONAVIT,19.08397,-98.202434
