CVEGEO,areas_verdes_m2,NOM_MUN,POBTOT,IM_2020,av_por_hab,av_norm,margin_norm,IARRI
21146,43533947.29,Santa Catarina Tlaltempan,749,,58122.76007,0.337531712,0.65,0.337531712
21147,181150349.2,Santa Ines Ahuatempan,6341,,28568.10427,0.165833868,0.65,0.165833868
21148,9701600.403,Santa Isabel Cholula,11498,,843.7641679,0.004769247,0.65,0.004769247
21149,90778736.31,Santiago Miahuatlan,30309,,2995.108262,0.017267486,0.65,0.017267486
21150,153384151.5,Huehuetlan el Grande,6105,,25124.34914,0.145827364,0.65,0.145827364
21151,2454824.996,Santo Tomas Hueyotlipan,9315,,263.5346211,0.001398402,0.65,0.001398402
21152,68701658.93,Soltepec,12631,,5439.130625,0.031466039,0.65,0.031466039
21153,38777476,Tecali de Herrera,23625,,1641.374646,0.009402967,0.65,0.009402967
21154,65801929.26,Tecamachalco,80771,,814.6727075,0.00460024,0.65,0.00460024
21155,88948709.42,Tecomatlan,6830,,13023.2371,0.075525924,0.65,0.075525924
21156,437824443.8,Tehuacan,327312,,1337.636395,0.007638399,0.65,0.007638399
21157,248280890.7,Tehuitzingo,12672,,19592.87332,0.113692242,0.65,0.113692242
21158,132840512,Tenampulco,6743,,19700.50601,0.114317534,0.65,0.114317534
21159,128856199.1,Teopantlan,3836,,33591.29278,0.195016093,0.65,0.195016093
21160,103773489.7,Teotlalco,3689,,28130.52038,0.163291723,0.65,0.163291723
21161,206816178.5,Tepanco de Lopez,22218,,9308.496647,0.053945131,0.65,0.053945131
21162,28526214.01,Tepango de Rodriguez,4155,,6865.514804,0.039752622,0.65,0.039752622
21163,30956589.56,Tepatlaxco de Hidalgo,18854,,1641.910977,0.009406083,0.65,0.009406083
21164,45390159.46,Tepeaca,84270,,538.6277377,0.002996556,0.65,0.002996556
21165,13770420.67,Tepemaxalco,1216,,11324.3591,0.065656288,0.65,0.065656288
21166,72318413.63,Tepeojuma,8918,,8109.263695,0.046978184,0.65,0.046978184
21167,56493870.54,Tepetzintla,10373,,5446.242219,0.031507354,0.65,0.031507354
21168,95002395.54,Tepexco,7523,,12628.25941,0.0732313,0.65,0.0732313
21169,385210920.6,Tepexi de Rodriguez,22331,,17250.05242,0.100081618,0.65,0.100081618
21170,185010019.9,Tepeyahualco,19200,,9635.938536,0.055847405,0.65,0.055847405
21171,3142158.345,Tepeyahualco de Cuauhtemoc,3851,,815.933094,0.004607562,0.65,0.004607562
21172,249676005.3,Tetela de Ocampo,27216,,9173.868507,0.053163008,0.65,0.053163008
21173,6998422.653,Teteles de Avila Castillo,6653,,1051.919834,0.005978528,0.65,0.005978528
21174,53186358.82,Teziutlan,103583,,513.4660979,0.002850379,0.65,0.002850379
21175,91270602.24,Tianguismanalco,14432,,6324.182528,0.036607751,0.65,0.036607751
21176,79573332.56,Tilapa,9664,,8233.995505,0.047702814,0.65,0.047702814
21177,186511255.6,Tlacotepec de Benito Juarez,54757,,3406.162785,0.019655508,0.65,0.019655508
21178,160352215.6,Tlacuilotepec,15977,,10036.44086,0.058174124,0.65,0.058174124
21179,275606074.3,Tlachichuca,31639,,8710.960343,0.050473742,0.65,0.050473742
21180,179538930.8,Tlahuapan,41547,,4321.345243,0.024972262,0.65,0.024972262
21181,2752341.311,Tlaltenango,7425,,370.6856985,0.002020896,0.65,0.002020896
21182,4325342.721,Tlanepantla,5390,,802.4754584,0.00452938,0.65,0.00452938
21183,141901074.2,Tlaola,20433,,6944.700935,0.040212654,0.65,0.040212654
21184,62861509.59,Tlapacoya,6422,,9788.463032,0.056733496,0.65,0.056733496
21185,40575421.31,Tlapanala,10344,,3922.604535,0.022655777,0.65,0.022655777
21186,172522455.9,Tlatlauquitepec,55576,,3104.261838,0.017901613,0.65,0.017901613
21187,54352505.66,Tlaxco,4934,,11015.91116,0.063864359,0.65,0.063864359
21188,180499777.9,Tochimilco,19315,,9345.057101,0.054157529,0.65,0.054157529
21189,24330157.74,Tochtepec,22454,,1083.555613,0.006162316,0.65,0.006162316
21190,131277420.7,Totoltepec de Guerrero,1187,,110595.9736,0.642374973,0.65,0.642374973
21191,93169111.3,Tulcingo,9871,,9438.669973,0.054701373,0.65,0.054701373
21192,37833697.16,Tuzamapan de Galeana,5924,,6386.512012,0.036969854,0.65,0.036969854
21193,180230625.9,Tzicatlacoyan,6476,,27830.54754,0.16154903,0.65,0.16154903
21194,288892023.6,Venustiano Carranza,28395,,10174.04556,0.058973539,0.65,0.058973539
21195,200452928.6,Vicente Guerrero,26559,,7547.457683,0.04371437,0.65,0.04371437
21196,40414204.97,Xayacatlan de Bravo,1570,,25741.53183,0.149412888,0.65,0.149412888
21197,288759132,Xicotepec,80591,,3583.019593,0.020682958,0.65,0.020682958
21198,98373593.37,Xicotlan,1312,,74979.873,0.43546315,0.65,0.43546315
21199,139570749.1,Xiutetelco,42943,,3250.139699,0.018749091,0.65,0.018749091
21200,50140664.66,Xochiapulco,3443,,14563.07426,0.084471612,0.65,0.084471612
